"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Hygraph GraphQL API","0","Video schema - positive queries","5","0","","0"
"0","Restful Booker API","0","Booking Negative Scenarios","6","0","","0"
"0","DemoQA","0","Practice Form","4","0","","0"
"0","DemoQA","0","Web Tables","7","0","","0"
"0","Hygraph GraphQL API","0","Video schema - negative queries","3","0","","0"
"0","Restful Booker API","0","Health Check","1","0","","0"
"0","Restful Booker API","0","Booking CRUD","9","0","","0"
"0","Restful Booker API","0","Authentication","2","0","","0"
